days_alive,work_days,spec_days,rest_days,final_cash,final_happiness
2354,681,820,853,-50486.36792177746,90
1057,157,433,467,-50158.20751573859,90
802,54,302,446,-50576.52059662275,95
1562,106,458,998,-50314.22488160059,95
2057,244,528,1285,-50463.52005584502,95
1704,121,319,1264,-50017.732963821974,100
1749,77,195,1477,-50044.015086629755,100
1987,54,137,1796,-50000.147965684104,100
1683,8,41,1634,-50029.15723512142,100
1778,19,35,1724,-50017.948878686504,100
2603,78,180,2345,-50018.375389077926,100
1959,32,49,1878,-50043.6719761704,100
1888,17,35,1836,-50006.28947385915,100
2225,41,96,2088,-50028.22219216951,100
1839,17,33,1789,-50026.0397182588,100
2064,32,46,1986,-50043.608510452716,100
2065,17,37,2011,-50017.817754182965,100
2109,16,46,2047,-50022.21021662661,100
2450,44,80,2326,-50028.345165864805,100
1865,8,19,1838,-50028.84616198872,100
2116,9,31,2076,-50043.92622833535,100
1824,3,16,1805,-50031.540009648874,100
2068,8,15,2045,-50039.65953917794,100
2035,8,28,1999,-50026.607449437666,100
2073,10,22,2041,-50009.382153821665,100
2117,7,22,2088,-50007.40276468896,100
2058,11,14,2033,-50032.08525212885,100
2079,6,18,2055,-50010.50230007009,100
2257,9,41,2207,-50017.67379475034,100
1906,1,10,1895,-50019.84942474477,100
1832,7,18,1807,-50014.532966122206,100
2172,11,40,2121,-50042.66043469833,100
2095,12,51,2032,-50022.553836834,100
1823,6,25,1792,-50027.10881735892,100
1977,16,41,1920,-50022.31536619294,100
2212,20,71,2121,-50043.35439203969,100
2195,23,87,2085,-50015.046806398714,100
1835,9,41,1785,-50030.34543583568,100
1931,17,46,1868,-50028.228861067626,100
1724,9,18,1697,-50005.91981132379,100
2252,21,65,2166,-50025.25561432261,100
2034,3,29,2002,-50003.24715902809,100
2052,16,58,1978,-50023.46550164521,100
2206,11,65,2130,-50032.76937494797,100
1878,7,31,1840,-50001.90097566914,100
2000,9,39,1952,-50009.90366237872,100
2034,11,56,1967,-50027.98098523664,100
1942,9,46,1887,-50039.35301223125,100
2389,11,63,2315,-50037.86163705888,100
1864,5,22,1837,-50015.09309412082,100
