r,l,t,days_worked,days_speculated,days_rested,final_age,final_wealth
6.1198016e+08,6523,6523,0,0,0,0,0
2.4873735e+06,463,6986,0,0,0,0,0
7.8648985e+06,828,7814,0,0,0,0,0
1.3053742e+08,3056,10870,0,0,0,0,0
1.79679e+08,3702,14572,0,0,0,0,0
6.967857e+06,719,15291,0,0,0,0,0
4.2622548e+07,2116,17407,0,0,0,0,0
4.1044668e+06,932,18339,0,0,0,0,0
4.232057e+07,2020,20359,0,0,0,0,0
3.1477062e+08,4828,25187,0,0,0,0,0
1.768055e+07,1287,26474,0,0,0,0,0
2.9233356e+07,1817,28291,0,0,0,0,0
9.4251256e+07,2360,30651,0,0,0,0,0
9.865487e+06,1072,31723,0,0,0,0,0
187536.64,471,32194,0,0,0,0,0
2.0761039e+06,438,32632,0,0,0,0,0
1.8873636e+07,1479,34111,0,0,0,0,0
1.3991339e+08,3547,37658,0,0,0,0,0
7.149519e+06,695,38353,0,0,0,0,0
7.276833e+07,2472,40825,0,0,0,0,0
